fuente,entidad,departamento,municipio,valor_inicial,valor_final,adiciones_dias,plazo_dias,sobrecosto_pct,retraso_pct,estado,objeto,url,contratista,fecha_inicio,fecha_fin,postconflicto,destino_gasto
SECOP I,CUNDINAMARCA - EMPRESA DE SERVICIOS PÚBLICOS DE FUSAGASUGÁ,Cundinamarca,Fusagasugá,591979112,591979112,0,4.0,0.0,0.0,Liquidado,OBRAS DE ADECUACIoN Y OPTIMIZACION DE LA PLANTA DE TRATAMIENTO DE AGUA POTABLE PEKIN (INCLUYE EQUIPOS DE MEDICIoN; CONTROL Y AUTOMATIZACIoN DEL FLUJO) DE LA EMPRESA DE SERVICIOS PuBLICOS DE FUSAGASUGA EMSERFUSA ESP,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-4-8610652,CONSORCIO PTAP PEKIN,2018-10-17T00:00:00.000,2019-06-17T00:00:00.000,0,Inversión
SECOP II,ICBF REGIONAL TOLIMA,Tolima,Ibagué,591844924,612854534,0,,3.549850501041046,,terminado,PRESTAR LOS SERVICIOS DE EDUCACIÓN INICIAL EN EL MARCO DE LA ATENCIÓN INTEGRAL A LA PRIMERA INFANCIA DE CONFORMIDAD CON LOS MANUALES OPERATIVOS Y EL LINEAMIENTO TÉCNICO PARA LA ATENCIÓN A LA PRIMERA INFANCIA Y LAS DIRECTRICES ESTABLECIDAS POR EL ICBF; EN ARMONÍA CON LA POLÍTICA DE ESTADO PARA EL DESARROLLO INTEGRAL DE LA PRIMERA INFANCIA DE CERO A SIEMPRE,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5708789&isFromPublicArea=True&isModal=true&asPopupView=true,ASOCIACION PARA LA CONSTRUCCION DE COMUNIDAD Y SU DESARROLLO INTEGRAL,2024-02-22T00:00:00.000,2024-12-31T00:00:00.000,0,Inversión
SECOP I,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE SASAIMA,Cundinamarca,Sasaima,591754423,685203947,25,4.0,15.791943476525566,625.0,Liquidado,CONSTRUCCION DE CUBIERTA POLIDEPORTIVO DE LA URBANIZACION SAN JOSE DEL PERIMETRO URBANO DEL MUNICIPIO DE SASAIMA; CUNDINAMARCA,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-21606,CONSORCIO CUBIERTA SAN JOSE,2021-06-18T00:00:00.000,2021-10-18T00:00:00.000,0,Inversión
SECOP II,EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD SAN ANTONIO DE LA PARED,Boyacá,Ráquira,591710727,0,40,,,,terminado,ADECAUCION DE INFRAESTRUCTURA PARA LA E.S.E CENTRO DE SALUD SAN ANTONIO DE LA PARED DE RAQUIRA; MUNICIPIO DE RAQUIRA; DEPARTAMENTO DE BOYACA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8657913&isFromPublicArea=True&isModal=true&asPopupView=true,consorcio la pared,2025-10-20T00:00:00.000,2026-02-10T00:00:00.000,0,Inversión
SECOP I,CORANTIOQUIA - CORPORACIÓN AUTÓNOMA REGIONAL DEL CENTRO DE ANTIOQUIA,Antioquia,Medellín,591615207,591615207,75,165.0,0.0,45.45454545454545,Liquidado,MEJORAMIENTO Y MANTENIEMIENTO DE LAS PTAR NORTE Y SUR Y CONSTRUCCIoN DE LOS COLECTORES EN LOS SECTORES DEL GUAYABITO Y BUENOS AIRES DEL MUNICIPIO DE YALi,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-12-10852708,MUNICIPIO DE YALI,2013-03-26T00:00:00.000,2013-11-21T00:00:00.000,0,Inversión
SECOP I,CORANTIOQUIA - CORPORACIÓN AUTÓNOMA REGIONAL DEL CENTRO DE ANTIOQUIA,Antioquia,Medellín,591615207,591615207,75,165.0,0.0,45.45454545454545,Liquidado,MEJORAMIENTO Y MANTENIEMIENTO DE LAS PTAR NORTE Y SUR Y CONSTRUCCIoN DE LOS COLECTORES EN LOS SECTORES DEL GUAYABITO Y BUENOS AIRES DEL MUNICIPIO DE YALi,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-12-10852708,MUNICIPIO DE YALI,2013-03-26T00:00:00.000,2013-11-21T00:00:00.000,0,Inversión
SECOP I,ANTIOQUIA - ALCALDÍA MUNICIPIO DE CONCEPCIÓN,Antioquia,Concepción,591602499,636196553,26,4.0,7.537840708140754,650.0,Liquidado,RECUPERACION DE AREAS DEGRADADAS Y DISMINUCIoN DEL RIESGO POR EVENTO EROSIVO EN LA VEREDA ARANGO DEL MUNICIPIO DE CONCEPCIoN Y DISMINUCIoN DEL RIESGO POR EVENTO DE INUNDACIoN MEDIANTE LA CONSTRUCCIoN DE UN MURO DE CONTENCIoN SOBRE LA MARGEN IZQUIERDA DEL RIO CONCEPCION A LA ALTURA DE LA ZONA URBANA DEL MUNICIPIO DE CONCEPCION,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-186283,OPCION INGENIERIA S.A.S,2018-04-17T00:00:00.000,2018-09-17T00:00:00.000,0,Inversión
SECOP I,BOYACÁ - ALCALDÍA MUNICIPIO DE SANTA SOFÍA,Boyacá,Santa Sofía,591483541,591483541,119,2.0,0.0,5950.0,Liquidado,MANTENIMIENTO Y MEJORAMIENTO DE ViAS RURALES DEL PROGRAMA COLOMBIA RURAL DEL MUNICIPIO DE SANTA SOFIA  BOYACa; DENTRO DEL CONVENIO INTERADMINISTRATIVO 0878 DE 2021 CELEBRADO ENTRE EL INSTITUTO NACIONAL DE ViAS INVIAS Y EL MUNICIPIO DE SANTA SOFIA  BOYACa,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-25810,INGENIERIA DISENO Y SOLUCIONES EN LA CONSTRUCION S.A.S,2021-11-15T00:00:00.000,2022-04-15T00:00:00.000,0,Inversión
SECOP I,BOYACÁ - ALCALDÍA MUNICIPIO DE SANTA SOFÍA,Boyacá,Santa Sofía,591483541,591483541,119,2.0,0.0,5950.0,Liquidado,MANTENIMIENTO Y MEJORAMIENTO DE ViAS RURALES DEL PROGRAMA COLOMBIA RURAL DEL MUNICIPIO DE SANTA SOFIA  BOYACa; DENTRO DEL CONVENIO INTERADMINISTRATIVO 0878 DE 2021 CELEBRADO ENTRE EL INSTITUTO NACIONAL DE ViAS INVIAS Y EL MUNICIPIO DE SANTA SOFIA  BOYACa,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-25810,INGENIERIA DISENO Y SOLUCIONES EN LA CONSTRUCION S.A.S,2021-11-15T00:00:00.000,2022-04-15T00:00:00.000,0,Inversión
SECOP I,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),Bogotá D.C.,Bogotá D.C.,591349936,808471534,122,344.0,36.716263041922446,35.46511627906977,Liquidado,PRESTAR LOS SERVICIOS: HOGARES COMUNITARIOS DE BIENESTAR FAMILIAR; Y FAMI  EN CONFORMIDAD CON LAS DIRECTRICES; LINEAMIENTOS Y PARaMETROS ESTABLECIDOS POR EL ICBF; EN ARMONIA CON LA POLITICA DE ESTADO PARA EL DESARROLLO INTEGRAL A LA PRIMERA INFANCIA DE CERO A SIEMPRE.,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-22-6576,ASOCIACION RICAURTE,2018-12-17T00:00:00.000,2020-03-27T00:00:00.000,0,Inversión
