fuente,entidad,departamento,municipio,valor_inicial,valor_final,adiciones_dias,plazo_dias,sobrecosto_pct,retraso_pct,estado,objeto,url,contratista,fecha_inicio,fecha_fin,postconflicto,destino_gasto
SECOP I,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE LA PEÑA,Cundinamarca,La Peña,1499897459,1499897459,0,5.0,0.0,0.0,Liquidado,MANTENIMIENTO DE LA VIA QUE CONDUCE LA PEÑA - PASO DEL REJO; SECTOR LA PEÑA -  GUAYABAL EN EL MUNICIPIO DE LA PEÑA CUNDINAMARCA CONVENIO ICCU 815 - 2017,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-185748,CONSORCIO VIAS LA PENA 2018,2018-03-05T00:00:00.000,2018-08-05T00:00:00.000,0,Inversión
SECOP I,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE CAJICÁ,Cundinamarca,Cajicá,1498856849,1778856849,0,4.0,18.68090339559839,0.0,Liquidado,REHABILITACIoN Y MANTENIMIENTO POR MEDIO DE ESTABILIZACIoN QUiMICA; DE LA ViAS DEL SECTOR SANTA INeS VEREDA CHUNTAME; DEL MUNICIPIO DE CAJICa DEPARTAMENTO DE CUNDINAMARCA,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-192447,CONSTRUGROUP VIAL S.A.S,2018-07-31T00:00:00.000,2019-03-31T00:00:00.000,0,Inversión
SECOP I,ANTIOQUIA - ALCALDÍA MUNICIPIO DE YONDÓ,Antioquia,Yondó,1498373887,1853617478,30,270.0,23.708607983769543,11.11111111111111,Liquidado,OBRA PUBLICA PARA LA CONSTRUCCIoN Y OPERACIoN DE LAS REDES DE SERVICIO DE GAS NATURAL DOMICILIARIO PARA LAS VEREDAS LA CoNDOR; EL DIQUE Y LAS AMeRICAS EN LA ZONA RURAL DEL MUNICIPIO DE YONDo  ANTIOQUIA FASE II,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-10964,HEGA S.A ESP,2019-09-26T00:00:00.000,2020-07-22T00:00:00.000,0,Inversión
SECOP I,SANTANDER - ALCALDÍA MUNICIPIO DE SAN JOSÉ DE MIRANDA,Santander,San José de Miranda,1498200072,1498200072,0,6.0,0.0,0.0,Liquidado,CONSTRUCCIoN DE PAVIMENTO RIGIDO EN EL MUNICIPIO DE SAN JOSe DE  MIRANDA,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-29471,INSA S.A.S,2022-07-12T00:00:00.000,2023-01-12T00:00:00.000,0,Inversión
SECOP I,CESAR - ALCALDÍA MUNICIPIO DE SAN MARTÍN,Cesar,San Martín,1497843494,1497843494,0,3.0,0.0,0.0,Liquidado,MODERNIZACION Y ADECUACION DEL SISTEMA DE ILUMINACION DE LOS ESCENARIOS DEPORTIVOS Y PARQUES EN DIFERENTES SECTORES Y EL ALUMBRADO PUBLICO DEL MUNICIPIO DE SAN MARTIN CESAR,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-30803,ARCO LUZ INGENIERIAS SAS,2022-05-23T00:00:00.000,2022-08-23T00:00:00.000,0,Inversión
SECOP I,CAR - CORPORACIÓN AUTÓNOMA REGIONAL DE CUNDINAMARCA,Bogotá D.C.,Bogotá D.C.,1496080970,1648793749,0,5.0,10.207520987316617,0.0,Liquidado,CONSTRUCCIoN DEL PARQUE LINEAL DEL MUNICIPIO DE VILLAPINZON (CUNDINAMARCA) EN ZONA PARALELA AL RiO BOGOTa  EN LA JURISDICCIoN CAR.,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-12851,CONSORCIO PARQUE CAR 2019,2020-03-10T00:00:00.000,2020-10-10T00:00:00.000,0,Inversión
SECOP I,HUILA - ALCALDÍA MUNICIPIO DE GUADALUPE,Huila,Guadalupe,1495800679,1495800679,0,3.0,0.0,0.0,Liquidado,CONSTRUCCIoN DE HORNILLAS ECOEFICIENTES COMO ESTRATEGIA PARA LA REDUCCIoN LA PRESIoN EJERCIDA SOBRE LOS BOSQUES GENERADA POR LA OBTENCIoN DE LEÑA PARA LA COCCIoN DE ALIMENTOS Y DISMINUIR LAS EMISIONES DE GASES DE EFECTO DE INVERNADERO GEI EN ZONA RURAL EL MUNICIPIO DE GUADALUPE DEPARTAMENTO DEL HUILA; SEGuN CONVENIO INTERADMINISTRATIVO NuMERO 0322 DE 2023 SUSCRITO ENTRE LA CORPORACION AUTONOMA REGIONAL DEL ALTO MAGDALENA Y EL MUNICIPIO DE GUADALUPE  HUILA.,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=23-11-13788578,INOVACION Y CONOCIMIENTO PARA EL DESARROLLO SOTENIBLE SAS INNOVA & CO SAS,2023-11-02T00:00:00.000,2024-02-02T00:00:00.000,0,Inversión
SECOP I,TOLIMA - ALCALDÍA MUNICIPIO DE ROVIRA,Tolima,Rovira,1495491563,1495491563,0,120.0,0.0,0.0,Liquidado,PAVIMENTACIoN EN CONCRETO RiGIDO; CONSTRUCCIoN DE ANDENES Y REPOSICIoN RED DE ALCANTARILLADO DE AGUAS RESIDUALES DE ALGUNAS ViAS URBANAS DE LOS BARRIOS MARCOS FIDEL SUAREZ; LA CEIBA Y EL CENTENARIO DEL MUNICIPIO DE ROVIRA - TOLIMA.,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-10785,UNION TEMPORAL JL& MC VIAS ROVIRA,2019-12-03T00:00:00.000,2020-04-01T00:00:00.000,0,Inversión
SECOP I,BOYACÁ - GOBERNACIÓN,Boyacá,Tunja,1495295386,1495295386,45,5.0,0.0,900.0,Liquidado,MEJORAMIENTO DE LA ViA LABRANZAGRANDE HASTA EL ALTO DEL OSO; DEPARTAMENTO DE BOYACa,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-8409,CONSORCIO ALTO DEL OSO 2019,2019-05-06T00:00:00.000,2020-03-06T00:00:00.000,0,Inversión
SECOP I,BOYACÁ - ALCALDÍA MUNICIPIO DE PUERTO BOYACÁ,Boyacá,Puerto Boyacá,1494682418,1494682418,30,5.0,0.0,600.0,Liquidado,CONSTRUCCIoN DE PAVIMENTO EN CONCRETO RiGIDO EN EL CENTRO POBLADO PUERTO GUTIERREZ; MUNICIPIO DE PUERTO BOYACA.,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-17246,UNION TEMPORAL PAVIMENTO GUTIERREZ,2020-11-30T00:00:00.000,2021-05-30T00:00:00.000,0,Inversión
