entidad,url,departamento,municipio,valor_inicial,valor_final,sobrecosto_pct,objeto,contratista,estado
CASANARE - ALCALDÍA MUNICIPIO DE AGUAZUL,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-6369,Casanare,Aguazul,720128842,826863480,14.821602993093284,CONSTRUCCION DE PARQUES EN LAS URBANIZACIONES VILLA YOLANDA; SAN JUANITO Y ETAPA I VILLA LAGUITO DEL MUNICIPIO DE AGUAZUL CASANARE.,CONSORCIO VILLAS 2019,Liquidado
INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-22-11210,Bogotá D.C.,Bogotá D.C.,720045600,743192086,3.21458613176721,BRINDAR ATENCIoN ESPECIALIZADA A LOS NIÑOS; LAS NIÑAS Y ADOLESCENTES QUE TIENEN UN PROCESO ADMINISTRATIVO DE RESTABLECIMIENTO DE DERECHOS ABIERTO A SU FAVOR; EN LA MODALIDAD INTERNADO; DE ACUERDO CON LOS LINEAMIENTOS VIGENTES Y EL MODELO DE ENFOQUE DIFERENCIAL EXPEDIDOS POR EL ICBF,FUNDACION RENACER,Liquidado
QUINDÍO - UNIVERSIDAD DEL QUINDÍO,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-4-8142329,Quindío,Armenia,715496512,867732614,21.276987301372056,OBRA CIVIL PARA LA IMPERMEABILIZACIoN DE LA PISCINA DE LA UNIVERSIDAD DEL QUINDiO,UNION TEMPORAL EJE CAFETERO,Liquidado
SANTANDER - ALCALDÍA MUNICIPIO DE GUAPOTA,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-28041,Santander,Guapotá,715322293,733511603,2.5428132434843604,CONSTRUCCIoN DE MEJORAMIENTOS DE VIVIENDA EN EL SECTOR URBANO Y RURAL DEL MUNICIPIO DE GUAPOTA  SANTANDER,CORPORACION INGESEM IDEAS QUE CONSTRUYEN FUTURO,Liquidado
CALDAS - ALCALDÍA MUNICIPIO DE SUPIA,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-22-28456,Caldas,Supía,714285557,772730387,8.182278001737615,LA COOPERACIoN ENTRE LA FEDERACIoN Y EL MUNICIPIO DE SUPiA PARA LA CONSTRUCCIoN DE PLACAS HUELLA TIPO COMITe EN ViAS RURALES BAJO LA MODALIDAD DE TRABAJO COMUNITARIO,COMITE DE CAFETEROS DE CALDAS,Liquidado
ANTIOQUIA - DISTRITO ESPECIAL DE CIENCIA; TECNOLOGICA E INNOVACION DE MEDELLIN,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-11-9267850,Antioquia,Medellín,714129125,1062129125,48.73068298397716,MEJORAMIENTO DE ViAS MEDIANTE MATERIAL ASFALTICO RECICLADO RAP,CONSORCIO HR- MEDELLIN 2019,Liquidado
NORTE DE SANTANDER - ALCALDÍA MUNICIPIO DE TOLEDO,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=23-12-13702537,Norte De Santander,Toledo,712920989,1069381394,49.99998744601416,OBRAS DE RECONSTRUCCIoN Y REHABILITACIoN DE INFRAESTRUCTURA VIAL EN EL MUNICIPIO DE TOLEDO; NORTE DE SANTANDER; CONFORME AL DECRETO NO 036 Y DECRETO NO 055 DE 2023; Y AL PLAN DE ACCIoN ESPECIFICO (PAE),PROYECTOS IT INGENIERIA SAS,Liquidado
CUNDINAMARCA - ALCALDÍA MUNICIPIO DE LA MESA,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-26076,Cundinamarca,La Mesa,712778226,762778226,7.014804630129092,CONSTRUCCIoN SALoN COMUNAL BARRIO JOSe ANTONIO OLAYA DEL MUNICIPIO DE LA MESA CUNDINAMARCA,CONSORCIO SALON COMUNAL,Liquidado
VALLE DEL CAUCA - ALCALDÍA MUNICIPIO DE CALI,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-11-9852244,Valle del Cauca,Cali,712241290,752967877,5.718088458477324,REHABILITACIoN VIAL EN LOS BARRIOS BENJAMiN HERRERA; LA  FLORESTA; ATANASIO GIRARDOT; CHAPINERO DE LA COMUNA 8  Y BELALCAZAR DE LA COMUNA 9; DEL MUNICIPIO DE SANTIAGO DE CALI.,DIEGO REINEL FERNANDEZ ORDONEZ,Liquidado
ANTIOQUIA - ALCALDÍA MUNICIPIO DE GIRARDOTA,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-186796,Antioquia,Girardota,710924631,1061378865,49.29555380674383,MEJORAMIENTO DE ALGUNAS ViAS TERCIARIAS EN EL MUNICIPIO DE GIRARDOTA  ANTIOQUIA; MEDIANTE LA CONSTRUCCIoN DE PAVIMENTO RiGIDO; TIPO PLACA HUELLA,CONSORCIO VIAS GIRARDOTA,Liquidado
SANTANDER - ALCALDÍA MUNICIPIO DE SAN VICENTE CHUCURÍ,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-1-225750,Santander,San Vicente de Chucurí,710891642,1025822780,44.30086378762068,CONSTRUCCION Y REPOSICION DE REDES DE ALCANTARILLADO SANITARIO Y PLUVIAL EN EL BARRIO JAIME RAMIREZ DEL MUNICIPIO DE SAN VICENTE DE CHUCURI SANTANDER,CONSORCIO RYC SVCH 22,Liquidado
TOLIMA - EMPRESA IBAGUEREÑA DE ACUEDUCTO Y ALCANTARILLADO IBAL S.A. E.S.P.,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-4-11916572,Tolima,Ibagué,710581102,893867456,25.79386835424171,REHABILITACION Y/O RECUPERACION Y/O REPOSICION DE LAS REDES DE ACUEDUCTO Y ALCANTARILLADO PARA GARANTIZAR LA CONTINUIDAD DEL SERVICIO EN LOS SECTORES COMPRENDIDOS PARA LOS DISTRITOS HIDRAULICOS 1 Y 2 UBICADOS DENTRO DEL PERIMETRO HIDRO SANITARIO DEL IBAL S.A. E.S.P OFICIAL EN LA CIUDAD DE IBAGUE,CONSORCIO IC DISTRITO 1,Liquidado
INSTITUTO NACIONAL DE VÍAS (INVIAS),https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-12-11508242,Bogotá D.C.,Bogotá D.C.,710000000,810000000,14.084507042253522,AUNAR ESFUERZOS ENTRE EL INSTITUTO NACIONAL DE VIAS  INVIAS Y EL MUNICIPIO DE TOLEDO; DEPARTAMENTO DE NORTE DE SANTANDER PARA EL MANTENIMIENTO Y MEJORAMIENTO DE VIAS RURALES DEL PROGRAMA COLOMBIA RURAL,MUNICIPIO DE TOLEDO - NORTE DE SANTANDER,Liquidado
INSTITUTO NACIONAL DE VÍAS (INVIAS),https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-12-11508203,Bogotá D.C.,Bogotá D.C.,710000000,840000000,18.30985915492958,AUNAR ESFUERZOS ENTRE EL INSTITUTO NACIONAL DE VIAS  INVIAS Y EL MUNICIPIO DE CARCASI; DEPARTAMENTO DE SANTANDER PARA EL MANTENIMIENTO Y MEJORAMIENTO DE VIAS RURALES DEL PROGRAMA COLOMBIA RURAL,MUNICIPIO DE CARCASI - SANTANDER,Liquidado
CUNDINAMARCA - ALCALDÍA MUNICIPIO DE CACHIPAY,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-21899,Cundinamarca,Cachipay,709117920,1057933920,49.19012623457605,ADECUACIoN DEL PARQUE DEL AGUA UBICADO EN LA INSPECCION DE PEÑA NEGRA; EN EL MUNICIPIO DE CACHIPAY; CUNDINAMARCA SEGuN CONVENIO ICCU NO. 350 DE 2020,CONSORCIO FENRIR,Liquidado
INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-22-4204,Bogotá D.C.,Bogotá D.C.,708995833,912987788,28.77195400949557,PRESTAR EL SERVICIO CENTROS DE DESARROLLO INFANTIL -CDI-; DE CONFORMIDAD CON EL MANUAL OPERATIVO DE LA MODALIDAD INSTITUCIONAL Y LAS DIRECTRICES ESTABLECIDAS POR EL ICBF; EN ARMONIA CON LA POLiTICA DE ESTADO PARA EL DESARROLLO INTEGRAL DE LA PRIMERA INFANCIA DE CERO A SIEMPRE.,ASOCIACION DE PADRES DE HOGARES DE BIENESTAR UNION Y FUERZA,Liquidado
BOYACÁ - ALCALDÍA MUNICIPIO DE ALMEIDA,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-24459,Boyacá,Almeida,708035334,725000000,2.396019687910095,MANTENIMIENTO Y MEJORAMIENTO DE VIAS RURALES EN EL MUNICIPIO DE ALMEIDA DEPARTAMENTO DE BOYACA DEL PROGRAMA COLOMBIA RURAL (CORREDOR VIAL  ALMEIDA-BELEN-TIBAITA) SEGuN CONVENIO 1634 DE 2020 CUYO OBJETO ES AUNAR ESFUERZOS ENTRE EL INSTITUTO NACIONAL DE VIAS  INVIAS Y EL MUNICIPIO DE ALMEIDA; DEPARTAMENTO DE BOYACA PARA EL MANTENIMIENTO Y MEJORAMIENTO DE VIAS RURALES DEL PROGRAMA COLOMBIA RURAL,UNION TEMPORAL BELEN 2021,Liquidado
BOYACÁ - ALCALDÍA MUNICIPIO DE NOBSA,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-6732,Boyacá,Nobsa,707948702,1061310690,49.91350178363629,CONSTRUCCIoN DE ViAS NUEVAS E INSTALACION DE SELLOS ASFALTICOS EN EL MUNICIPIO DE NOBSA,CONSORCIO SANTA ANA,Liquidado
ANTIOQUIA - ALCALDÍA MUNICIPIO DE TÁMESIS,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-24481,Antioquia,Támesis,706717315,750000000,6.1244693007132565,CONSTRUCCION DE PLACA HUELLA EN ZONA RURAL DEL MUNICIPIO DE TaMESIS- ANTIOQUIA; EN EL MARCO DELCONVENIO 1945 ENTRE INVIAS Y ELMUNICIPIO DE TaMESIS ANTIOQUIA,CONSORSIO PLACA HUELLA TAMESIS,Liquidado
INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-22-5581,Bogotá D.C.,Bogotá D.C.,705586920,965054318,36.77327210090572,PRESTAR LOS SERVICIOS: HOGARES COMUNITARIOS DE BIENESTAR FAMILIAR; Y FAMI  EN CONFORMIDAD CON LAS DIRECTRICES; LINEAMIENTOS Y PARaMETROS ESTABLECIDOS POR EL ICBF; EN ARMONIA CON LA POLITICA DE ESTADO PARA EL DESARROLLO INTEGRAL A LA PRIMERA INFANCIA DE CERO A SIEMPRE,ASOCIACION DE PADRES DE FAMILIA HOGARES COMUNITARIOS DE BIENESTAR EL FUTURO DE LOS NINOS,Liquidado
