departamento,ciudad,valor_inicial,valor_final,dias_adicionados,destino_gasto,estado_contrato,objeto,url,contratista,fecha_inicio,fecha_fin
Valle del Cauca,Cali,18294601667,0,0,Inversión,Aprobado,REALIZAR OBRAS DE MEJORAMIENTO; MANTENIMIENTO VIAL Y OBRAS DE DRENAJE EN ZONA URBANA Y  ZONA RURAL DEL DISTRITO ESPECIAL DE SANTIAGO DE CALI para el LOTE 3.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10313329&isFromPublicArea=True&isModal=true&asPopupView=true,CONSORCIO VIAL CYC.,,2026-12-15
Distrito Capital de Bogotá,Bogotá,18270434475,0,31,Inversión,Suspendido,MEJORAMIENTO; MANTENIMIENTO; GESTIÓN SOCIAL Y AMBIENTAL DE LAS VÍAS EN EL SECTOR 2 EN EL MUNICIPIO DE URIBIA EN EL DEPARTAMENTO DE LA GUAJIRA. LOTE 2.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6294124&isFromPublicArea=True&isModal=true&asPopupView=true,CONSORCIO SANTA MARTA 010,2024-10-25,2026-07-31
Cesar,Valledupar,18257354173,0,32,Inversión,Modificado,CONSTRUCCIÓN DEL ESTADIO DE BEISBOL DEL MUNICIPIO DE VALLEDUPAR; DEPARTAMENTO DEL CESAR,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2203228&isFromPublicArea=True&isModal=true&asPopupView=true,CONSORCIO ESTADIO 2022,2021-12-28,2023-09-08
Antioquia,Medellín,18230758290,17319220879,28,Inversión,Modificado,CONSTRUCCIÓN DE LA ESTACIÓN DE POLICÍA Y SALA TÉCNICA DE AUTOMOTORES EN GUAYABAL - COMUNA 15,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1437632&isFromPublicArea=True&isModal=true&asPopupView=true,CONSORCIO SEGURIDAD MED 7042,2021-01-04,2023-02-28
Cauca,Popayán,18208530630,2887453496,373,Inversión,Modificado,REALIZAR EL MEJORAMIENTO DE LA VÍA 25CC21 PESCADOR (CRUCE RUTA NACIONAL 2504) - SIBERIA - CALDONO DEL SECTOR PR 0+000 AL PR 4+619; EN EL MUNICIPIO DE CALDONO; DEPARTAMENTO DEL CAUCA.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4666313&isFromPublicArea=True&isModal=true&asPopupView=true,CONSORCIO PANAMERICANA NORTE,2023-12-07,2026-12-15
Antioquia,Medellín,18157047648,0,0,Inversión,enviado Proveedor,EJECUCIÓN DE MEJORAMIENTOS DE VIVIENDA EN EL MARCO DE LA CONVOCATORIA VIVA MI CASA MEJORADA PARA ELLAS; PARA IMPACTAR MUJERES VULNERABLES; EN POBREZA EXTREMA Y MODERADA EN LA ZONA RURAL DEL DEPARTAMENTO DE ANTIOQUIA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10196963&isFromPublicArea=True&isModal=true&asPopupView=true,CONSORCIO MEJORAMIENTOS ANTIOQUIA 2026,,2027-12-31
Putumayo,Mocoa,18136775929,2394380938,0,Inversión,Modificado,ESTUDIOS; DISEÑOS Y CONSTRUCCIÓN DEL DISTRITO I Y ESTACIÓN DE POLICÍA MOCOA; MUNICIPIO DE MOCOA-PUTUMAYO,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4232419&isFromPublicArea=True&isModal=true&asPopupView=true,CONSORCIO INGENIEROS Y AGREGADOS 2023,2023-07-06,2026-12-31
Tolima,Ibagué,18100902582,0,303,Inversión,cedido,CONSTRUCCIÓN Y REPOSICIÓN DE REDES DE ACUEDUCTO; ALCANTARILLADO Y ACTIVIDADES COMPLEMENTARIAS DE RECUPERACIÓN DE LAS VÍAS INTERVENIDAS PARA LA ZONA URBANA DE LA CIUDAD DE IBAGUÉ ETAPA 2 EN EL MARCO DEL PROGRAMA COMBO 3X1,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8765025&isFromPublicArea=True&isModal=true&asPopupView=true,CONSORCIO AGUAS IBAGUE 2026,2026-01-21,2026-09-20
Distrito Capital de Bogotá,Bogotá,18096841547,0,0,Inversión,En ejecución,CONSTRUCCIÓN DE MURO DE PROTECCIÓN PARA LA MITIGACIÓN Y CONTROL DE INUNDACIONES EN ZONAS DE INFLUENCIA DEL CANAL DEL DIQUE EN LA CABECERA MUNICIPAL DEL MUNICIPIO DE SANTA LUCÍA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6970255&isFromPublicArea=True&isModal=true&asPopupView=true,CONSORCIO PROTECCIÓN CANAL DEL DIQUE,2025-02-24,2025-12-31
Valle del Cauca,Cali,18030151183,0,60,Inversión,Modificado,REALIZAR LA CONSTRUCCIÓN Y PUESTA EN MARCHA DE LA FASE I DE LA PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES DE LA CABECERA Y DE LOS COLECTORES DE ALCANTARILLADO ASOCIADOS A LA OBRA; EN EL MUNICIPIO DE FLORIDA - VALLE DEL CAUCA; EN DESARROLLO DEL PROYECTO 2001 - CARACTERIZACIÓN DEL RECURSO HÍDRICO Y FORMULACIÓN DE ALTERNATIVAS PARA EL MEJORAMIENTO DEL ESTADO DE LA CALIDAD DEL AGUA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2333540&isFromPublicArea=True&isModal=true&asPopupView=true,CONSORCIO PTAR FLORIDA 2021,2021-12-27,2024-05-27
Distrito Capital de Bogotá,Bogotá,18022145685,0,31,Inversión,Modificado,"CONSTRUCCIÓN DEL EMPALME DE LA AVENIDA JOSÉ CELESTINO MUTIS (AC 63) 
DESDE LA TRANSVERSAL 112B BIS A HASTA LA CARRERA 112 Y DEMÁS OBRAS 
COMPLEMENTARIAS REQUERIDAS PARA LA ARMONIZACIÓN DE LA AV JOSE 
CELESTINO MUTIS EN LA CIUDAD DE BOGOTÁ; D.C",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7044031&isFromPublicArea=True&isModal=true&asPopupView=true,CONSORCIO CELESTINO MUTIS IJK,2025-01-31,2026-07-31
Cesar,Valledupar,18013670506,0,0,Inversión,En ejecución,CONSTRUCCIÓN; MEJORAMIENTO Y ADECUACIÓN DE LA INFRAESTRUCTURA DEPORTIVA PARA LOS JUEGOS BOLIVARIANOS 2022; EN EL DEPARTAMENTO DEL CESAR,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2358936&isFromPublicArea=True&isModal=true&asPopupView=true,CONSORCIO CIBAO,2022-02-16,2022-09-15
Caldas,Manizales,18010565415,0,116,Inversión,Modificado,MEJORAMIENTO DE ESPACIO PÚBLICO MEDIANTE LA CONSTRUCCIÓN DE BULEVAR SOBRE LA AVENIDA 12 DE OCTUBRE ENTRE LA CALLE 14 Y EL MONUMENTO A LOS COLONIZADORES EN EL BARRIO CHIPRE DE LA CIUDAD DE MANIZALES,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7894167&isFromPublicArea=True&isModal=true&asPopupView=true,CONSORCIO CHIPRE 12,2025-06-17,2026-04-26
Bolívar,Turbaco,17985837777,0,0,Inversión,Modificado,CONSTRUCCIÓN DEL COLISEO DE FERIAS DEL NORTE PARA CONTRIBUIR CON EL FORTALECIMIENTO DE LOS PROCESOS DE COMERCIALIZACIÓN DE PRODUCTOS AGRÍCOLAS Y PECUARIOS EN LOS MUNICIPIOS DE LAS ZODES NORTE; DIQUE Y MONTES DE MARÍA EN EL DEPARTAMENTO DE BOLÍVAR.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2847508&isFromPublicArea=True&isModal=true&asPopupView=true,CONSORCIO COLISEO FERIAL ARJONA,2022-07-12,2024-04-30
Distrito Capital de Bogotá,No Definido,17973796813,0,183,Inversión,Modificado,"ADELANTAR OBRAS DE ADECUACIÓN; MEJORAMIENTO Y 
MANTENIMIENTO CORRECTIVO DE LAS PLANTAS FÍSICAS DE LA SECRETARÍA DE EDUCACIÓN DEL DISTRITO; ASÍ 
COMO LA EJECUCIÓN DE OBRAS MENORES; QUE PERMITAN A TRAVÉS DE LA ATENCIÓN DE EMERGENCIAS Y 
DE NECESIDADES FÍSICAS PRIORITARIAS; GARANTIZAR EL FUNCIONAMIENTO Y LA PRESTACIÓN DEL SERVICIO 
DE LA INFRAESTRUCTURA FÍSICA EN LOS COLEGIOS DISTRITALES Y LAS SEDES ADMINISTRATIVAS",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3053051&isFromPublicArea=True&isModal=true&asPopupView=true,CONSORCIO EDUCACION BOGOTA,2022-12-28,2024-06-27
Distrito Capital de Bogotá,Bogotá,17946459188,17944790457,0,Inversión,En ejecución,Realizar el mantenimiento de la infraestructura del componente BRT del sistema de transporte masivo de la ciudad de Bogotá D.C.; a cargo de la Empresa de Transporte del Tercer Milenio -TRANSMILENIO S.A.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5061821&isFromPublicArea=True&isModal=true&asPopupView=true,Adrian Mafioli & Cia SAS,2024-01-18,2025-01-17
Caquetá,No Definido,17891804932,0,163,Inversión,Modificado,EJECUTAR EL COMPONENTE DE INFRAESTRUCTURA DEL PROYECTO: FORTALECIMIENTO DE CAPACIDADES INSTALADAS DE CIENCIA Y TECNOLOGÍA DEL LABORATORIO DE SALUD PÚBLICA PARA ATENDER PROBLEMÁTICAS ASOCIADAS CON AGENTES BIOLÓGICOS DE ALTO RIESGO PARA LA SALUD HUMANA EL DEPARTAMENTO DEL CAQUETÁ.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1448303&isFromPublicArea=True&isModal=true&asPopupView=true,UNION TEMPORAL LSP CAQUETA,2020-10-22,2023-11-30
Bolívar,Turbaco,17888804815,0,0,Inversión,En ejecución,REHABILITACIÓN Y MEJORAMIENTO DE VIAS PERMITIENDO LA  INTERCONEXION VIAL PARA EL DESARROLLO ECONOMICO;  SOCIAL; AGRICOLA Y TURISTICO EN EL DEPARTAMENTO DE  BOLIVAR.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8960280&isFromPublicArea=True&isModal=true&asPopupView=true,CONSORCIO INTERVIAL BOLIVAR,2026-02-23,2026-12-23
Santander,Bucaramanga,17881449564,3392580837,30,Inversión,Modificado,ADECUACIÓN Y MEJORAMIENTO DE LA SEDE REGIONAL DE PIEDECUESTA DE LAS UNIDADES TECNOLÓGICAS DE SANTANDER PIEDECUESTA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6628452&isFromPublicArea=True&isModal=true&asPopupView=true,CONSORCIO OBRAS SANTANDER,2025-04-29,2026-07-28
