id_contrato,sobrecosto,tfidf_desarrollo,interaccion_prob_x_impacto,tfidf_insumos,prob_std,tfidf_expedicion,tfidf_materiales,imp_promedio,tfidf_cualquier,tfidf_ejecucion,tfidf_contrato,prop_tipo_operacional,prob_promedio,prop_cate_bajo,valor_inicial,tfidf_riesgo,tfidf_tecnicas,tfidf_municipio,tfidf_obras,tfidf_informacion,prop_fuen_externo,tfidf_cuando,tfidf_disenos,tfidf_ejecucion contrato,tfidf_calidad,tfidf_manejo,prop_cate_alto,tfidf_pago,prop_tipo_economico,prop_asig_entidad,tfidf_falta,anio,ipc,trm
C-001,28.56,0.1311236747976893,7.465277777777779,0.0,0.2763853991962833,0.0,0.0,3.583333333333333,0.0,0.2180550351325913,0.276845771508312,0.6666666666666666,2.083333333333333,0.0833333333333333,16147899764,0.0,0.0,0.0,0.265376452797135,0.0,1.0,0.0,0.0,0.2917950203608035,0.2328961306907581,0.0,0.6666666666666666,0.0,0.1666666666666666,0.0833333333333333,0.0,2018,3.18,2955.7
C-002,4.8,0.1936733930376432,6.307479224376732,0.0,0.8486587103472158,0.1074017797604794,0.0,3.631578947368421,0.0,0.0536789136772724,0.1022272674993008,0.631578947368421,1.736842105263158,0.2105263157894736,105418335674,0.0814302255920606,0.1646144080807959,0.0,0.0653280934008987,0.0968366965188216,0.4210526315789473,0.0,0.085046664473168,0.0718315892127017,0.0,0.0,0.2631578947368421,0.0,0.0526315789473684,0.3157894736842105,0.0,2019,3.8,3281.1
C-003,53.1,0.0,3.859375,0.0,0.6959705453537527,0.0,0.3061237607445414,1.625,0.0,0.2593689246130181,0.0,1.0,2.375,0.75,46952850500,0.0,0.0,0.1350704857290741,0.6313122293897686,0.0,1.0,0.0,0.2054667316755822,0.0,0.207766420964772,0.0,0.125,0.0,0.0,0.125,0.0,2019,3.8,3281.1
C-004,26.33,0.0,1.82,0.1177166290288413,0.4582575694955839,0.0,0.0,1.4,0.0,0.1640764794396754,0.1562353725605006,0.8,1.3,1.0,43371238623,0.0,0.1257912590469335,0.0854454318600396,0.0,0.0,1.0,0.0,0.1299780150054795,0.0,0.0,0.1294999102798826,0.0,0.0,0.2,0.1,0.0,2018,3.18,2955.7
C-005,37.28,0.0,7.587890625,0.0523721843885159,0.582961190818051,0.0,0.0861565497491088,3.46875,0.062678133331074,0.2189931118294562,0.1737729793838703,0.6875,2.1875,0.03125,40110983232,0.1107365833729623,0.0,0.0,0.0888393690289692,0.0,0.96875,0.0584745135121461,0.0578272808564068,0.0976834426016899,0.0,0.0576145718360028,0.78125,0.121007020429926,0.0625,0.125,0.2515236509570503,2019,3.8,3281.1
C-006,49.78,0.3257946702102864,6.87603305785124,0.0647842179415637,0.6680426571226848,0.0,0.0532876827767314,2.363636363636364,0.0,0.3160427096646677,0.2579479172053344,0.5454545454545454,2.909090909090909,0.2727272727272727,37715126875,0.0684903927065454,0.0,0.0940481480891812,0.0549470020408942,0.0,0.9090909090909092,0.1446655575522819,0.0715321541331577,0.060417046841546,0.0723327787761409,0.0,0.6363636363636364,0.0748426409507427,0.1363636363636363,0.1818181818181818,0.0622267839744046,2020,1.61,3693.4
C-007,18.33,0.0,7.7919921875,0.0,0.7064159097160821,0.0,0.078585527844455,3.15625,0.0571702813827979,0.233040562717383,0.1902031780485913,0.5,2.46875,0.0625,34224873099,0.3030167601208669,0.0,0.0,0.1620651878200843,0.0600578426225103,0.78125,0.0533360553919727,0.0527456984192578,0.1336492394519907,0.0,0.1051033624825811,0.65625,0.11037350730806,0.0625,0.09375,0.1835367728478818,2020,1.61,3693.4
C-008,0.007,0.3912838588629096,8.100000000000001,0.0,0.6324555320336759,0.0,0.1706646306463221,2.7,0.0,0.3614967816656471,0.1376884354316472,1.0,3.0,0.0,32658182171,0.0,0.0,0.1506041510930497,0.0879894688583335,0.0,0.9,0.2316604200106566,0.0,0.0,0.1158302100053283,0.0,0.9,0.0,0.0,0.0,0.0996469592025264,2018,3.18,2955.7
C-009,50.0,0.0,3.970612244897959,0.0,0.5598833697790121,0.0718423205990381,0.2542745774535893,1.8285714285714283,0.0,0.1795323007873349,0.170952570386335,0.7142857142857143,2.171428571428572,0.6571428571428571,31595665637,0.0,0.0550562621352068,0.0747954369863981,0.3495898738883485,0.0,1.0,0.0,0.1706661588453984,0.0480489994939194,0.0575254474109553,0.0566794629521501,0.0285714285714285,0.0,0.0285714285714285,0.2,0.1484647893931002,2019,3.8,3281.1
C-010,1.82,0.0,5.159999999999999,0.2275270972744968,0.8602325267042626,0.0,0.0748601567968932,2.15,0.1089202133224771,0.3488464624455022,0.2415820507505756,0.2,2.4,0.6,31074451269,0.1443260788400699,0.0,0.0,0.2315736568355727,0.057210782174844,0.95,0.1016152866587275,0.1004905448199746,0.2121892604484914,0.0,0.1001209053516828,0.3,0.0,0.2,0.35,0.0437090389612928,2018,3.18,2955.7
