id_contrato,sobrecosto,prop_tipo_Riesgos Legales y Regulatorios,prop_asig_EDU y Contratista,valor_inicial,tfidf_demoras,tfidf_ejecución,imp_promedio,tfidf_departamento,tfidf_construccion,tfidf_municipio,prop_tipo_Regulatorio,tfidf_desarrollo,tfidf_ley,suma_impacto,val_std,tfidf_ejecución contrato,tfidf_obras,tfidf_servicios,tfidf_contrato,prop_tipo_Cumplimiento,prop_tipo_Operacional,tfidf_cambio,tfidf_incumplimiento,tfidf_riesgo,tfidf_actividades,tfidf_contratista,tfidf_precios,imp_std,tfidf_calidad,val_promedio,tfidf_obra,anio_inicio,anio_fin,duracion,ipc_acumulado,trm_promedio,pct_riesgos_con_mitigacion,avg_longitud_mitigacion,n_distinct_codes_mitigacion
C-001,28.56,0.0,0.0,16147899764.0,0.0,0.0,3.5833333333333335,0.15693588796153138,0.0,0.0,0.0,0.13986188461423857,0.0,43.0,1.2909944487358056,0.0,0.3086363638526173,0.0,0.307807037191331,0.0,0.6666666666666666,0.0,0.3515842671152948,0.0,0.0,0.42077604968867716,0.0,0.7592027982620249,0.24284726401555537,7.0,0.08829935068124213,2018,2019,1,7.1,3118.82,1.0,94.33333333333333,0
C-002,4.8,0.0,0.0,105418335674.0,0.0,0.0,3.6315789473684212,0.0,0.08149873719380153,0.0,0.10526315789473684,0.19292373680062003,0.10944162826405233,69.0,1.6825649855942928,0.0,0.0709548575859113,0.0,0.10614629566923753,0.0,0.631578947368421,0.0,0.0,0.0818374594628869,0.0,0.34824793653843866,0.0,0.9296590385608259,0.0,5.894736842105263,0.12179902149523417,2019,2021,2,11.4,3572.51,1.0,248.89473684210526,0
C-003,53.1,0.0,0.0,46952850500.0,0.0,0.0,1.625,0.0,0.2022284854710396,0.13903191753066277,0.0,0.0,0.0,13.0,1.3228756555322954,0.0,0.7042608943640654,0.0,0.0,0.0,1.0,0.0,0.20056535732872313,0.0,0.0,0.0,0.0,0.6959705453537527,0.20780259317296296,4.0,0.15111419205345158,2019,2022,3,26.01,3743.24,1.0,212.75,0
C-004,26.33,0.0,0.0,43371238623.0,0.0,0.0,1.4,0.16784473237610295,0.12638048937814125,0.08688648256342107,0.0,0.0,0.0,14.0,0.48989794855663565,0.0,0.0,0.0,0.1646015785551999,0.0,0.8,0.0,0.1253411355599344,0.0,0.0,0.18000992473456842,0.23137195373687974,0.48989794855663565,0.0,2.4,0.09443716842963042,2018,2022,4,30.02,3585.91,1.0,147.4,0
C-005,37.28,0.0,0.0,40110983232.0,0.3251431290015019,0.0,3.5625,0.0,0.060363021845741695,0.0,0.0625,0.0,0.0,114.0,0.75,0.0,0.10510714069924525,0.3721609972626035,0.19654633264716576,0.0,0.6875,0.06864435599248665,0.17959978809710955,0.12122780115257922,0.06124908013546999,0.21494502578422606,0.05525500956133668,0.8637671850678283,0.0,6.0,0.27063573921974676,2019,2020,1,5.47,3487.23,1.0,143.75,0
C-006,49.78,0.0,0.0,37715126875.0,0.0,0.0,2.3636363636363638,0.0,0.0,0.10109205201986048,0.0,0.34808043638437564,0.0,52.0,2.6613238487826267,0.0,0.06400974343976074,0.0,0.287269852299075,0.0,0.5454545454545454,0.1672163313143281,0.0,0.07382714816443149,0.373003953804723,0.10472038997593901,0.0673000704281947,0.77138921583987,0.07554808612299421,6.909090909090909,0.21975448566531602,2020,2022,2,21.4,3897.3,1.0,193.72727272727272,0
C-007,18.33,0.0,0.0,34224873099.0,0.22032773543674056,0.0,3.15625,0.07243225109131361,0.0,0.0,0.0625,0.0,0.0,101.0,0.9137619698258403,0.0,0.18993086406480064,0.16812573177963866,0.21309807044562856,0.0,0.5,0.062020913898376016,0.10818022674198788,0.32859186638140386,0.11067840525308446,0.27188719949400586,0.04992349539753419,0.9717694878416383,0.0,5.90625,0.2852760178677547,2020,2021,1,7.32,3718.23,1.0,188.5,0
C-008,0.007,0.0,0.0,32658182171.0,0.0,0.0,2.7,0.16093953833386504,0.0,0.166623881408164,0.0,0.4302898610260021,0.0,27.0,1.8681541692269406,0.0,0.10550336734462913,0.0,0.1578298090543529,0.0,1.0,0.0,0.0,0.0,0.36887983964154314,0.17260425020296893,0.0,0.6403124237432849,0.12452131588246418,7.9,0.3622079543030353,2018,2020,2,8.83,3310.33,1.0,191.0,0
C-009,50.0,0.0,0.0,31595665637.0,0.0,0.0,1.8285714285714285,0.0,0.057354408825249975,0.07886221784471616,0.0,0.0,0.0,64.0,1.01418510567422,0.0,0.39947356734545936,0.0,0.18675007266132024,0.0,0.7142857142857143,0.0,0.1137654517227869,0.0,0.0,0.16338539068222055,0.05250099002867541,0.6963461489687965,0.058935292206873637,4.0,0.3428622878777256,2019,2021,2,11.4,3572.51,1.0,157.22857142857143,1
C-010,1.82,0.0,0.0,31074451269.0,0.0,0.0,2.15,0.0,0.05296571858980097,0.0,0.05,0.0,0.07112569696459388,43.0,1.452583904633395,0.0,0.27667974858589206,0.10885126936092533,0.27593629149847687,0.0,0.2,0.24092880250875995,0.05253012823783086,0.1595575587033212,0.0537431931527518,0.1508833375116122,0.3393857428488374,0.852936105461599,0.0,4.7,0.19789179928300607,2018,2020,2,8.83,3310.33,1.0,162.5,0
C-011,53.46,0.0,0.0,29644842809.0,0.0,0.07743392174891339,1.6470588235294117,0.0,0.05303009266931533,0.036458145119716553,0.0,0.0,0.0,56.0,1.0038851862280007,0.04882861488924736,0.3231853599056243,0.0,0.17266978881092182,0.0,0.7058823529411765,0.0,0.052593972904572205,0.0,0.0,0.15106671982426595,0.04854260419515923,0.6362737544936452,0.10898356625891226,3.8529411764705883,0.2773852413869556,2019,2022,3,26.01,3743.24,1.0,167.94117647058823,1
C-012,17.61,0.0,0.0,28827446286.0,0.3370571654337069,0.0,2.3333333333333335,0.1662101858653442,0.12514974007182322,0.0,0.0,0.29625435124065647,0.0,28.0,0.6871842709362768,0.0,0.21791704483944835,0.1285992943144077,0.0,0.0,0.3333333333333333,0.0,0.0,0.12566988314878608,0.0,0.08912845409022514,0.11455937547227386,0.4714045207910317,0.0,4.833333333333333,0.2805524920873921,2018,2020,2,8.83,3310.33,1.0,151.25,0
C-013,22.75,0.0,0.0,28393419604.0,0.0,0.22255115788526653,2.25,0.0,0.0,0.0,0.125,0.0,0.0,36.0,1.260890062614501,0.0,0.13269429217669448,0.0783068270132106,0.04962665013439582,0.0,0.0,0.08666123128981151,0.07557959937540636,0.0,0.0,0.05427219856537118,0.13951524766405726,0.75,0.0,2.6875,0.11388955946782993,2019,2020,1,5.47,3487.23,1.0,79.3125,0
C-014,23.52,0.0,0.0,28109635150.0,0.0,0.0,3.6,0.12237151135085741,0.09214094044851909,0.06334682081902238,0.0,0.0,0.12373264788738302,72.0,1.382027496108525,0.0,0.0802202283430454,0.0,0.12000700679364606,0.0,0.0,0.0,0.0,0.09252389347943742,0.0,0.13124085716651002,0.0,0.9165151389911681,0.0,5.3,0.06885184220457971,2019,2021,2,11.4,3572.51,1.0,265.25,0
C-015,35.91,0.0,0.0,26787663741.0,0.0,0.0,2.72,0.0,0.1067862388152789,0.07341545140781691,0.04,0.0,0.0,68.0,1.2419339757008019,0.0,0.1859415894814504,0.0,0.06954073197317281,0.0,0.44,0.0,0.0,0.0,0.0,0.07605043668690976,0.0,0.8726969691708572,0.10972963224896468,5.24,0.23938639747132032,2019,2021,2,11.4,3572.51,1.0,74.68,0
C-016,48.09,0.0,0.0,25111685227.0,0.0,0.15173153311037105,3.5238095238095237,0.13800494869783833,0.0,0.0,0.14285714285714285,0.0,0.0,74.0,1.0301575072754257,0.0,0.27140602518022156,0.0,0.13533836947109196,0.0,0.6190476190476191,0.0,0.3091731877039292,0.20868836270795235,0.0,0.4440221639919537,0.0,0.6632565846278151,0.10677648257259106,6.285714285714286,0.1552958666000509,2019,2021,2,11.4,3572.51,1.0,96.0952380952381,0
C-017,53.1,0.0,0.0,23879922977.0,0.0,0.0,3.388888888888889,0.0,0.12486110059343863,0.0,0.05555555555555555,0.0,0.0,61.0,0.9111788592698181,0.0,0.2174144512094698,0.12830269894624924,0.16262268297067012,0.0,0.5555555555555556,0.0,0.37150272671008483,0.0,0.0,0.0,0.11429516111304783,0.5905636562630361,0.12830269894624924,6.055555555555555,0.27990543900578657,2019,2022,3,26.01,3743.24,1.0,86.0,0
C-018,49.97,0.0,0.0,23505672617.0,0.0,0.15879874986655676,3.5714285714285716,0.14443282078138514,0.0,0.0,0.14285714285714285,0.0,0.0,75.0,1.0389249632986397,0.0,0.2840473342711156,0.0,0.14164203999279695,0.0,0.6666666666666666,0.0,0.32357358218959736,0.2184084641497389,0.0,0.38725286206480064,0.0,0.6598288790738579,0.11174982286207905,6.333333333333333,0.16252909971978693,2019,2021,2,11.4,3572.51,1.0,104.95238095238095,0
C-019,11.18,0.0,0.0,21852074715.0,0.26172589023672027,0.07094992603479361,2.95,0.0,0.09717914494131821,0.0,0.05,0.0,0.0,59.0,1.0723805294763609,0.0,0.25381984900827265,0.09985773405808882,0.06328445450201027,0.0,0.6,0.0,0.2891398294061763,0.09758303758574072,0.0,0.13841701874025208,0.0889556953695462,0.739932429347437,0.09985773405808882,5.5,0.29046645803724963,2018,2021,3,14.94,3418.52,1.0,108.6,0
C-020,15.13,0.0,0.0,21760773530.0,0.21994740783276182,0.0,3.25,0.1084608288610147,0.0,0.0,0.03125,0.0,0.0,104.0,0.8654614015078893,0.0,0.0,0.0839177573845098,0.05318255565484227,0.0,0.5,0.0,0.08099511531138663,0.0,0.0,0.17448291671291002,0.22426793074383564,0.5590169943749475,0.0,5.46875,0.36615031350092997,2020,2021,1,7.32,3718.23,1.0,95.375,0
