id_contrato,valor_inicial,n_riesgos,prob_promedio,prob_std,imp_promedio,imp_std,val_promedio,val_std,interaccion_prob_x_impacto,anio_inicio,anio_fin,duracion,ipc_acumulado,trm_promedio,sobrecosto,tfidf_desarrollo,tfidf_insumos,tfidf_expedicion,tfidf_materiales,tfidf_obra,tfidf_ejecucion,tfidf_contrato,prop_tipo_operacional,prop_cate_bajo,tfidf_riesgo,tfidf_tecnicas,tfidf_municipio,tfidf_obras,tfidf_informacion,prop_fuen_externo,tfidf_cuando,tfidf_disenos,tfidf_ejecucion contrato,tfidf_calidad,tfidf_manejo,prop_cate_alto,tfidf_pago,prop_tipo_economico,prop_asig_entidad,tfidf_falta,svr_pred,abs_error,rmse_heuristic,bucket
C-013,28393419604,16,1.3125,0.704154339142587,2.25,0.7745966692414832,2.6875,1.3022416570411703,2.953125,2019,2020,1,5.47,3487.23,22.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.68,5.07,16.0,11-20
C-014,28109635150,20,1.75,0.8506963092234007,3.6,0.9403246919632545,5.3,1.417930292993797,6.3,2019,2021,2,11.4,3572.51,23.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.74,2.780000000000001,16.0,11-20
C-015,26787663741,25,2.52,0.714142842854285,2.72,0.8906926143924925,5.24,1.2675435561221031,6.854400000000001,2019,2021,2,11.4,3572.51,35.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.99,12.919999999999998,20.0,21-30
C-016,25111685227,21,2.761904761904762,0.5389584311207966,3.5238095238095237,0.6796357567879738,6.285714285714286,1.0555973258234952,9.732426303854876,2019,2021,2,11.4,3572.51,48.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.77,24.320000000000004,20.0,21-30
C-017,23879922977,18,2.6666666666666665,0.485071250072666,3.388888888888889,0.6076849889141858,6.055555555555555,0.9375953110592338,9.037037037037036,2019,2022,3,26.01,3743.24,53.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.22,25.880000000000003,16.0,11-20
C-018,23505672617,21,2.761904761904762,0.5389584311207966,3.5714285714285716,0.6761234037828132,6.333333333333333,1.064581294844754,9.863945578231293,2019,2021,2,11.4,3572.51,49.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7,26.27,20.0,21-30
C-019,21852074715,20,2.55,0.5104177855340405,2.95,0.7591546545162482,5.5,1.1002392084403618,7.5225,2018,2021,3,14.94,3418.52,11.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.51,13.330000000000002,16.0,11-20
C-020,21760773530,32,2.1875,0.535061045658012,3.25,0.5679618342470649,5.46875,0.8793096632421183,7.109375,2020,2021,1,7.32,3718.23,15.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.53,3.4000000000000004,24.0,>30
C-021,21318009743,26,2.230769230769231,0.5144077999169381,3.1153846153846154,0.65280460028545,5.384615384615385,0.9413574486632836,6.949704142011835,2020,2021,1,7.32,3718.23,19.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.58,1.370000000000001,20.0,21-30
C-022,21221757249,21,2.2857142857142856,0.560611910581388,2.0952380952380953,0.7003400534570263,4.809523809523809,2.0644381225662256,4.789115646258503,2019,2021,2,11.4,3572.51,47.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.83,25.810000000000002,20.0,21-30
