id_contrato,anio,ipc,constancia,fecha_ini_ejec_contrato,fecha_fin_ejec_contrato
C-056,2018,3.18,18-21-3856,2018-12-19T00:00:00.000,2020-05-19T00:00:00.000
C-057,2020,1.61,20-4-11302813,2020-12-17T00:00:00.000,2022-02-17T00:00:00.000
C-058,2019,3.8,19-1-202398,2019-09-12T00:00:00.000,2021-01-12T00:00:00.000
C-059,2019,3.8,19-11-9108817,2019-04-24T00:00:00.000,2021-01-08T00:00:00.000
C-060,2019,3.8,18-21-6989,2019-02-06T00:00:00.000,2020-09-06T00:00:00.000
C-061,2018,3.18,18-21-6207,2018-12-05T00:00:00.000,2020-02-05T00:00:00.000
C-062,2018,3.18,18-1-188861,2018-05-29T00:00:00.000,2019-08-29T00:00:00.000
C-063,2021,5.62,21-1-216433,2021-09-22T00:00:00.000,2024-12-22T00:00:00.000
C-064,2019,3.8,19-1-202981,2019-11-01T00:00:00.000,2021-02-01T00:00:00.000
C-065,2019,3.8,19-21-15659,2019-12-28T00:00:00.000,2022-01-28T00:00:00.000
C-066,2019,3.8,19-1-206439,2019-12-30T00:00:00.000,2020-12-30T00:00:00.000
C-066,2019,3.8,19-1-206439,2019-12-30T00:00:00.000,2020-12-30T00:00:00.000
C-066,2019,3.8,19-1-206439,2019-12-30T00:00:00.000,2020-12-30T00:00:00.000
C-067,2018,3.18,18-1-194884,2018-11-21T00:00:00.000,2019-11-21T00:00:00.000
C-068,2022,13.12,22-4-12964264,2022-05-10T00:00:00.000,2023-06-10T00:00:00.000
C-069,2018,3.18,18-21-6939,2018-12-28T00:00:00.000,2021-09-28T00:00:00.000
C-070,2021,5.62,21-21-21581,2021-06-21T00:00:00.000,2022-03-21T00:00:00.000
C-071,2019,3.8,19-1-198425,2019-04-16T00:00:00.000,2020-02-16T00:00:00.000
C-072,2018,3.18,18-21-4098,2018-08-20T00:00:00.000,2019-07-20T00:00:00.000
C-073,2018,3.18,18-1-187482,2018-09-12T00:00:00.000,2019-08-12T00:00:00.000
C-074,2018,3.18,18-1-193068,2018-11-14T00:00:00.000,2019-10-14T00:00:00.000
C-075,2019,3.8,18-21-7437,2019-02-26T00:00:00.000,2019-06-26T00:00:00.000
C-076,2021,5.62,21-4-12532040,2021-12-31T00:00:00.000,2022-11-01T00:00:00.000
C-077,2019,3.8,18-1-196438,2019-02-01T00:00:00.000,2020-04-01T00:00:00.000
C-077,2019,3.8,18-1-196438,2019-02-01T00:00:00.000,2020-04-01T00:00:00.000
C-078,2018,3.18,18-1-187508,2018-11-02T00:00:00.000,2019-12-02T00:00:00.000
C-079,2018,3.18,18-1-187505,2018-07-17T00:00:00.000,2019-04-17T00:00:00.000
C-080,2018,3.18,18-21-5575,2018-10-26T00:00:00.000,2020-01-26T00:00:00.000
C-081,2018,3.18,18-21-4182,2018-11-22T00:00:00.000,2019-09-22T00:00:00.000
C-082,2019,3.8,19-1-198829,2019-05-30T00:00:00.000,2020-04-30T00:00:00.000
C-083,2021,5.62,21-21-22508,2021-06-21T00:00:00.000,2022-06-21T00:00:00.000
C-084,2019,3.8,19-4-9708131,2019-08-01T00:00:00.000,2020-01-30T00:00:00.000
C-085,2019,3.8,19-21-14464,2019-12-12T00:00:00.000,2021-01-12T00:00:00.000
C-086,2021,5.62,21-21-21157,2021-11-02T00:00:00.000,2023-02-02T00:00:00.000
C-087,2018,3.18,18-21-3953,2018-11-08T00:00:00.000,2020-02-08T00:00:00.000
C-087,2018,3.18,18-21-3953,2018-11-08T00:00:00.000,2020-01-08T00:00:00.000
C-087,2018,3.18,18-21-3953,2018-11-07T00:00:00.000,2020-01-07T00:00:00.000
C-087,2018,3.18,18-21-3953,2018-11-08T00:00:00.000,2020-03-08T00:00:00.000
C-088,2020,1.61,19-21-15582,2020-03-10T00:00:00.000,2021-06-10T00:00:00.000
C-089,2019,3.8,19-21-7954,2019-04-24T00:00:00.000,2020-08-24T00:00:00.000
C-090,2022,13.12,22-4-12951326,2022-05-02T00:00:00.000,2023-01-17T00:00:00.000
C-091,2018,3.18,18-1-187485,2018-09-21T00:00:00.000,2019-07-21T00:00:00.000
C-092,2019,3.8,19-21-12361,2019-11-15T00:00:00.000,2020-04-15T00:00:00.000
C-093,2018,3.18,18-21-4500,2018-10-12T00:00:00.000,2019-09-02T00:00:00.000
C-094,2018,3.18,18-4-8109871,2018-08-13T00:00:00.000,2019-10-12T00:00:00.000
C-095,2019,3.8,19-1-206991,2019-12-30T00:00:00.000,2021-01-30T00:00:00.000
C-096,2020,1.61,20-21-18641,2020-11-19T00:00:00.000,2021-09-19T00:00:00.000
C-097,2018,3.18,18-1-188066,2018-09-10T00:00:00.000,2019-08-10T00:00:00.000
C-098,2022,13.12,21-4-12619460,2022-02-21T00:00:00.000,2022-10-21T00:00:00.000
C-099,2022,13.12,22-4-12867495,2022-03-24T00:00:00.000,2023-05-24T00:00:00.000
C-100,2018,3.18,18-21-4166,2018-10-29T00:00:00.000,2021-06-29T00:00:00.000
C-101,2018,3.18,18-11-8225629,2018-09-06T00:00:00.000,2019-09-06T00:00:00.000
C-102,2021,5.62,21-21-23359,2021-11-19T00:00:00.000,2023-02-19T00:00:00.000
C-103,2019,3.8,19-21-14790,2019-12-11T00:00:00.000,2021-10-11T00:00:00.000
C-104,2018,3.18,18-1-195045,2018-11-20T00:00:00.000,2019-08-20T00:00:00.000
C-105,2019,3.8,19-21-14055,2019-12-04T00:00:00.000,2020-09-04T00:00:00.000
C-106,2019,3.8,19-21-11740,2019-10-17T00:00:00.000,2021-06-17T00:00:00.000
C-107,2019,3.8,19-1-201761,2019-07-15T00:00:00.000,2020-07-15T00:00:00.000
C-108,2020,1.61,20-21-20077,2020-12-21T00:00:00.000,2021-09-21T00:00:00.000
C-109,2021,5.62,21-4-11913648,2021-06-16T00:00:00.000,2021-12-16T00:00:00.000
C-110,,,,,
C-111,,,,,
C-112,,,,,
C-113,,,,,
C-114,,,,,
C-115,2018,3.18,18-1-187511,2018-10-16T00:00:00.000,2023-05-16T00:00:00.000
C-116,2021,5.62,21-1-217076,2021-09-15T00:00:00.000,2022-03-29T00:00:00.000
C-117,2020,1.61,19-21-15638,2020-05-18T00:00:00.000,2020-10-18T00:00:00.000
C-118,2021,5.62,21-4-12203879,2021-11-02T00:00:00.000,2022-07-02T00:00:00.000
C-119,2019,3.8,19-21-10384,2019-07-31T00:00:00.000,2020-11-30T00:00:00.000
C-120,2018,3.18,18-21-6001,2018-12-04T00:00:00.000,2019-08-04T00:00:00.000
C-121,2019,3.8,19-1-199549,2019-04-25T00:00:00.000,2020-06-25T00:00:00.000
C-122,2019,3.8,19-1-206432,2019-12-09T00:00:00.000,2021-01-09T00:00:00.000
C-122,2019,3.8,19-1-206432,2019-12-09T00:00:00.000,2021-01-09T00:00:00.000
C-123,2019,3.8,18-4-8661914,2019-02-11T00:00:00.000,2019-10-11T00:00:00.000
C-124,2018,3.18,18-11-8073924,2018-07-16T00:00:00.000,2019-11-16T00:00:00.000
C-125,2019,3.8,19-21-10601,2019-08-01T00:00:00.000,2021-03-01T00:00:00.000
C-126,2020,1.61,19-21-16049,2020-05-11T00:00:00.000,2021-07-11T00:00:00.000
C-127,2019,3.8,18-21-7178,2019-02-15T00:00:00.000,2019-10-15T00:00:00.000
C-128,2019,3.8,19-11-9422321,2019-06-27T00:00:00.000,2021-11-17T00:00:00.000
C-129,2022,13.12,21-21-29169,2022-03-29T00:00:00.000,2022-11-29T00:00:00.000
C-129,2022,13.12,21-21-29169,2022-03-29T00:00:00.000,2022-11-29T00:00:00.000
C-130,2019,3.8,18-4-8699710,2019-02-18T00:00:00.000,2019-11-11T00:00:00.000
C-131,2019,3.8,19-1-201924,2019-08-06T00:00:00.000,2020-06-06T00:00:00.000
C-132,2018,3.18,18-1-191241,2018-07-24T00:00:00.000,2020-04-24T00:00:00.000
C-133,2018,3.18,18-21-4562,2018-09-18T00:00:00.000,2019-11-18T00:00:00.000
C-134,2019,3.8,19-21-11405,2019-08-16T00:00:00.000,2021-07-11T00:00:00.000
C-135,2019,3.8,19-21-9032,2019-05-09T00:00:00.000,2021-09-21T00:00:00.000
C-136,2019,3.8,19-21-9300,2019-05-24T00:00:00.000,2021-06-28T00:00:00.000
C-137,2019,3.8,19-1-200222,2019-05-29T00:00:00.000,2020-06-29T00:00:00.000
C-138,2022,13.12,21-21-26663,2022-01-17T00:00:00.000,2022-12-17T00:00:00.000
C-138,2022,13.12,21-21-26663,2022-01-17T00:00:00.000,2022-12-17T00:00:00.000
C-138,2022,13.12,21-21-26663,2022-01-17T00:00:00.000,2022-12-17T00:00:00.000
C-138,2022,13.12,21-21-26663,2022-01-17T00:00:00.000,2022-12-17T00:00:00.000
C-139,2021,5.62,21-4-12177070,2021-10-07T00:00:00.000,2022-11-01T00:00:00.000
C-140,2019,3.8,18-1-196039,2019-02-20T00:00:00.000,2019-10-20T00:00:00.000
C-141,2018,3.18,18-21-2396,2018-06-08T00:00:00.000,2020-03-23T00:00:00.000
C-142,2021,5.62,21-1-215610,2021-08-27T00:00:00.000,2022-08-27T00:00:00.000
C-143,2018,3.18,18-21-4020,2018-08-23T00:00:00.000,2020-02-23T00:00:00.000
C-144,2018,3.18,18-1-187510,2018-09-17T00:00:00.000,2019-07-17T00:00:00.000
C-145,2018,3.18,18-4-8219344,2018-09-26T00:00:00.000,2019-05-31T00:00:00.000
C-146,2022,13.12,22-4-12685894,2022-02-22T00:00:00.000,2022-09-22T00:00:00.000
C-147,2020,1.61,19-21-14194,2020-03-18T00:00:00.000,2020-11-18T00:00:00.000
C-148,2021,5.62,21-21-24477,2021-12-15T00:00:00.000,2022-12-15T00:00:00.000
C-149,2019,3.8,18-4-8583679,2019-01-10T00:00:00.000,2020-04-10T00:00:00.000
C-150,2020,1.61,19-21-16216,2020-05-18T00:00:00.000,2020-11-18T00:00:00.000
C-151,2018,3.18,18-1-189006,2018-06-15T00:00:00.000,2019-06-15T00:00:00.000
C-152,2018,3.18,18-1-189006,2018-06-15T00:00:00.000,2019-06-15T00:00:00.000
C-152,2019,3.8,19-21-9661,2019-07-26T00:00:00.000,2020-02-26T00:00:00.000
C-153,2018,3.18,18-21-1564,2018-07-17T00:00:00.000,2019-10-17T00:00:00.000
C-154,2018,3.18,18-1-187507,2018-09-12T00:00:00.000,2019-08-12T00:00:00.000
C-155,2020,1.61,20-21-19980,2020-12-03T00:00:00.000,2022-12-03T00:00:00.000
C-156,2019,3.8,19-21-11416,2019-09-27T00:00:00.000,2020-10-27T00:00:00.000
C-156,2019,3.8,19-21-11416,2019-09-27T00:00:00.000,2020-10-27T00:00:00.000
C-156,2019,3.8,19-21-11416,2019-09-27T00:00:00.000,2020-10-27T00:00:00.000
C-156,2019,3.8,19-21-11416,2019-09-27T00:00:00.000,2020-10-27T00:00:00.000
C-157,2019,3.8,19-21-8889,2019-05-21T00:00:00.000,2020-04-21T00:00:00.000
C-158,2023,9.28,22-21-34616,2023-04-17T00:00:00.000,2023-05-01T00:00:00.000
C-159,2019,3.8,19-1-202047,2019-08-06T00:00:00.000,2020-05-06T00:00:00.000
C-159,2019,3.8,19-1-202047,2019-08-06T00:00:00.000,2020-05-06T00:00:00.000
C-159,2019,3.8,19-1-202047,2019-08-06T00:00:00.000,2020-03-06T00:00:00.000
C-160,2019,3.8,19-21-9709,2019-07-23T00:00:00.000,2020-06-17T00:00:00.000
C-161,2019,3.8,19-21-12683,2019-09-30T00:00:00.000,2020-08-30T00:00:00.000
C-162,2020,1.61,20-1-209249,2020-04-01T00:00:00.000,2021-04-01T00:00:00.000
C-163,2021,5.62,21-1-220890,2021-12-31T00:00:00.000,2023-02-28T00:00:00.000
C-164,2018,3.18,18-21-676,2018-04-17T00:00:00.000,2019-08-17T00:00:00.000
C-165,2022,13.12,21-4-12536626,2022-01-17T00:00:00.000,2022-09-17T00:00:00.000
C-167,2018,3.18,18-21-3898,2018-10-04T00:00:00.000,2019-06-01T00:00:00.000
C-168,2018,3.18,18-1-191153,2018-08-16T00:00:00.000,2019-04-16T00:00:00.000
C-169,2019,3.8,19-4-9402849,2019-06-26T00:00:00.000,2019-12-21T00:00:00.000
C-170,2021,5.62,20-21-20319,2021-04-05T00:00:00.000,2022-09-05T00:00:00.000
C-170,2021,5.62,20-21-20319,2021-04-05T00:00:00.000,2022-09-05T00:00:00.000
C-171,2018,3.18,18-1-192192,2018-09-03T00:00:00.000,2019-04-03T00:00:00.000
C-171,2018,3.18,18-1-192192,2018-09-03T00:00:00.000,2019-04-03T00:00:00.000
C-172,2019,3.8,19-21-10682,2019-08-28T00:00:00.000,2020-11-28T00:00:00.000
C-173,2019,3.8,18-21-6308,2019-02-07T00:00:00.000,2019-10-07T00:00:00.000
C-174,2020,1.61,20-1-211837,2020-11-17T00:00:00.000,2021-05-17T00:00:00.000
C-174,2020,1.61,20-1-211837,2020-11-17T00:00:00.000,2021-05-17T00:00:00.000
C-174,2020,1.61,20-1-211837,2020-11-17T00:00:00.000,2021-05-17T00:00:00.000
C-174,2020,1.61,20-1-211837,2020-11-17T00:00:00.000,2021-05-17T00:00:00.000
C-174,2020,1.61,20-1-211837,2020-11-17T00:00:00.000,2021-05-17T00:00:00.000
C-174,2020,1.61,20-1-211837,2020-11-17T00:00:00.000,2021-05-17T00:00:00.000
C-174,2020,1.61,20-1-211837,2020-11-17T00:00:00.000,2021-05-17T00:00:00.000
C-174,2020,1.61,20-1-211837,2020-11-17T00:00:00.000,2021-05-17T00:00:00.000
C-174,2020,1.61,20-1-211837,2020-11-17T00:00:00.000,2021-05-17T00:00:00.000
C-175,2019,3.8,18-21-7129,2019-03-11T00:00:00.000,2019-11-11T00:00:00.000
C-176,2022,13.12,22-4-12995781,2022-06-14T00:00:00.000,2022-12-14T00:00:00.000
C-177,2019,3.8,19-1-202236,2019-08-13T00:00:00.000,2020-04-01T00:00:00.000
C-178,2019,3.8,19-21-9534,2019-07-05T00:00:00.000,2020-06-05T00:00:00.000
C-179,2020,1.61,20-21-17829,2020-07-24T00:00:00.000,2021-07-24T00:00:00.000
