feature,importance,cumsum,pct
tfidf_desarrollo,0.10144694604047806,0.10144694604047806,10.144694604047807
interaccion_prob_x_impacto,0.031446305787178684,0.13289325182765674,3.1446305787178686
tfidf_insumos,0.024222338613061542,0.15711559044071827,2.4222338613061543
prob_std,0.021180289531636313,0.17829587997235458,2.1180289531636314
tfidf_expedicion,0.020758102871698454,0.19905398284405304,2.0758102871698454
tfidf_materiales,0.020102649711906274,0.21915663255595932,2.0102649711906273
imp_promedio,0.019794105319980257,0.23895073787593957,1.9794105319980257
tfidf_cualquier,0.018313539424102496,0.2572642773000421,1.8313539424102496
tfidf_ejecucion,0.017794914876747867,0.27505919217679,1.7794914876747867
tfidf_contrato,0.016801935925492627,0.2918611281022826,1.6801935925492628
prop_tipo_operacional,0.01623469338505518,0.3080958214873378,1.6234693385055181
prob_promedio,0.016193398502553753,0.3242892199898915,1.6193398502553753
prop_cate_bajo,0.015622580403693008,0.33991180039358454,1.562258040369301
valor_inicial,0.015609098803652978,0.3555208991972375,1.5609098803652977
tfidf_riesgo,0.015510766192265883,0.3710316653895034,1.5510766192265883
tfidf_tecnicas,0.015145383717431129,0.3861770491069345,1.514538371743113
tfidf_municipio,0.015100152079008514,0.401277201185943,1.5100152079008513
tfidf_obras,0.014625647665772193,0.4159028488517152,1.4625647665772192
tfidf_informacion,0.013691213910091865,0.42959406276180706,1.3691213910091866
prop_fuen_externo,0.013245833464413524,0.4428398962262206,1.3245833464413523
tfidf_cuando,0.013112284216398954,0.45595218044261954,1.3112284216398955
tfidf_disenos,0.013023477754143347,0.4689756581967629,1.3023477754143347
tfidf_ejecucion contrato,0.012053275877868011,0.48102893407463093,1.205327587786801
tfidf_calidad,0.011627146948477671,0.4926560810231086,1.1627146948477671
tfidf_manejo,0.011464568569244089,0.5041206495923527,1.146456856924409
prop_cate_alto,0.011405286032882433,0.5155259356252351,1.1405286032882433
tfidf_pago,0.01092005490660311,0.5264459905318382,1.092005490660311
prop_tipo_economico,0.010578409333315997,0.5370243998651542,1.0578409333315997
prop_asig_entidad,0.01025901460744194,0.5472834144725961,1.025901460744194
tfidf_falta,0.010202339506638033,0.5574857539792342,1.0202339506638034
tfidf_departamento,0.009895877307078799,0.5673816312863129,0.9895877307078799
tfidf_actividades,0.009845623234691975,0.5772272545210049,0.9845623234691976
tfidf_obra,0.009819331207143013,0.5870465857281479,0.9819331207143014
prop_asig_contratista,0.009462099916636546,0.5965086856447845,0.9462099916636546
imp_p75,0.009431354487148992,0.6059400401319336,0.9431354487148993
prop_tipo_social,0.009404881138764452,0.6153449212706981,0.9404881138764452
imp_std,0.008871235791359306,0.6242161570620574,0.8871235791359307
tfidf_errores,0.008570244688469675,0.632786401750527,0.8570244688469675
tfidf_personal,0.008160215759056873,0.6409466175095839,0.8160215759056874
tfidf_proceso,0.008155089166160137,0.6491017066757441,0.8155089166160137
prop_asig_contratista / entidad,0.007996091551749284,0.6570977982274934,0.7996091551749284
prop_fuen_interno,0.007957016533257363,0.6650548147607507,0.7957016533257363
prop_tipo_financiero,0.007887821641510435,0.6729426364022612,0.7887821641510435
tfidf_entrega,0.00786975001181141,0.6808123864140726,0.7869750011811409
prop_cate_medio,0.007700029103857284,0.6885124155179299,0.7700029103857283
tfidf_publicos,0.007579875742939081,0.6960922912608689,0.7579875742939081
tfidf_mayor,0.007522760501197603,0.7036150517620665,0.7522760501197603
tfidf_servicios,0.007276441925177099,0.7108914936872436,0.7276441925177098
tfidf_equipos,0.006072233896051959,0.7169637275832955,0.607223389605196
tfidf_condiciones,0.005926655251720922,0.7228903828350164,0.5926655251720923
prob_p75,0.005780534003102432,0.7286709168381188,0.5780534003102432
tfidf_incumplimiento,0.005767953923062852,0.7344388707611816,0.5767953923062852
tfidf_entidad,0.005609284637645595,0.7400481553988272,0.5609284637645595
tfidf_construccion,0.005564891775094887,0.7456130471739221,0.5564891775094888
tfidf_proyecto,0.005534101247177573,0.7511471484210996,0.5534101247177573
prop_tipo_regulatorio,0.005474597243813133,0.7566217456649128,0.5474597243813133
tfidf_precios,0.005369713826351865,0.7619914594912647,0.5369713826351865
tfidf_danos,0.005125889791030449,0.7671173492822951,0.5125889791030449
prop_etap_planeacion,0.005104007441260426,0.7722213567235555,0.5104007441260425
tfidf_contratista,0.005101985443602263,0.7773233421671578,0.5101985443602264
val_std,0.005090344767819632,0.7824136869349775,0.5090344767819632
tfidf_ley,0.005019951900158608,0.7874336388351361,0.5019951900158608
prop_clas_especifico,0.004960808195095843,0.7923944470302319,0.49608081950958427
prop_etap_ejecucion,0.004953429520974613,0.7973478765512065,0.49534295209746126
tfidf_normas,0.004784978857126804,0.8021328554083333,0.4784978857126804
tfidf_ambiental,0.004677788419254604,0.8068106438275879,0.4677788419254604
tfidf_efectos,0.004353032400225329,0.8111636762278133,0.4353032400225329
prop_clas_general,0.004220446930074099,0.8153841231578873,0.42204469300740993
tfidf_parte,0.00418490387638375,0.819569027034271,0.418490387638375
tfidf_cantidades,0.004146759045333227,0.8237157860796043,0.41467590453332265
suma_impacto,0.004122227553808078,0.8278380136334124,0.4122227553808078
prop_tipo_ambiental,0.004057916894997251,0.8318959305284096,0.40579168949972505
tfidf_ejecucion obra,0.0038333928711731095,0.8357293233995827,0.38333928711731097
tfidf_terceros,0.0037621525069174797,0.8394914759065002,0.376215250691748
tfidf_afectacion,0.003604980532703196,0.8430964564392034,0.3604980532703196
prop_tipo_naturaleza,0.0035958969560557306,0.8466923533952592,0.3595896956055731
tfidf_bienes,0.0035399506931527943,0.850232304088412,0.3539950693152794
val_promedio,0.0035253749249132206,0.8537576790133252,0.35253749249132205
tfidf_otras,0.00351235876841123,0.8572700377817365,0.351235876841123
tfidf_cambios,0.0034292084207455833,0.8606992462024821,0.3429208420745583
tfidf_especificaciones,0.003428538937943065,0.8641277851404251,0.3428538937943065
tfidf_objeto,0.003425076738442515,0.8675528618788676,0.3425076738442515
tfidf_permisos,0.003370930726682449,0.8709237926055501,0.3370930726682449
n_categoria_medio,0.0033447323691539106,0.874268524974704,0.33447323691539105
n_riesgos,0.0033357442292537886,0.8776042692039577,0.33357442292537887
tfidf_seguridad,0.003290602642035332,0.880894871845993,0.32906026420353324
tfidf_estudios,0.003176811022872908,0.884071682868866,0.3176811022872908
n_categoria_bajo,0.0031444232674391536,0.8872161061363051,0.31444232674391537
tfidf_seleccion,0.0030687566387704248,0.8902848627750755,0.30687566387704246
val_p25,0.0030375803344346443,0.8933224431095101,0.3037580334434644
tfidf_presentacion,0.0029194107289159214,0.896241853838426,0.29194107289159216
tfidf_costos,0.0029030043507853485,0.8991448581892114,0.29030043507853487
tfidf_senalizacion,0.0028507629421825158,0.901995621131394,0.2850762942182516
n_categoria_alto,0.00280025706552833,0.9047958781969223,0.28002570655283304
tfidf_contratacion,0.002740699183800955,0.9075365773807232,0.2740699183800955
tfidf_derivados,0.0026057373473910178,0.9101423147281142,0.2605737347391018
tfidf_demoras,0.002604269831458502,0.9127465845595727,0.2604269831458502
tfidf_redes,0.002444402149199388,0.9151909867087721,0.2444402149199388
tfidf_demora,0.0024209560893825566,0.9176119427981546,0.24209560893825566
interaccion_prob_x_n,0.0023447909129488327,0.9199567337111034,0.23447909129488326
suma_valoracion,0.0023234474543730906,0.9222801811654765,0.23234474543730904
ipc,0.0023163308963527938,0.9245965120618292,0.23163308963527937
val_max,0.002240852842145174,0.9268373649039744,0.2240852842145174
prop_etap_contratacion,0.002217461554556865,0.9290548264585312,0.2217461554556865
tfidf_eventos,0.002195343619305091,0.9312501700778363,0.2195343619305091
tfidf_ejecucion obras,0.002171172215476583,0.9334213422933129,0.2171172215476583
prop_fuen_mixto,0.0021627835434689124,0.9355841258367817,0.21627835434689124
interaccion_val_x_n,0.002096242316856327,0.9376803681536381,0.2096242316856327
tfidf_trabajo,0.0020549496559409764,0.9397353178095791,0.20549496559409763
imp_p25,0.002042230952982635,0.9417775487625617,0.2042230952982635
suma_probabilidad,0.0019445325907123888,0.9437220813532741,0.1944532590712389
tfidf_variaciones,0.0019432982619124622,0.9456653796151865,0.19432982619124622
tfidf_ambientales,0.0019161318091831686,0.9475815114243696,0.19161318091831686
tfidf_ocasionados,0.0019107787946868937,0.9494922902190566,0.19107787946868937
tfidf_publico,0.0018469396097024302,0.951339229828759,0.18469396097024302
tfidf_contractual,0.0018216763084677762,0.9531609061372267,0.18216763084677762
