fila,url,entidad,municipio,departamento,tipo,pass,body_len,timestamp
575,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-24781,ANTIOQUIA - ALCALDÍA MUNICIPIO DE PUERTO NARE,Puerto Nare,Antioquia,MATRIZ_RIESGO,1,8354,2026-07-19T18:01:04.311045
576,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-1-214517,SUCRE - ALCALDÍA MUNICIPIO DE MORROA,Morroa,Sucre,ESTUDIOS_PREVIOS,1,5808,2026-07-19T18:01:08.092985
577,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-34927,NARIÑO - ALCALDÍA MUNICIPIO DE POLICARPA,Policarpa,Nariño,MATRIZ,1,10286,2026-07-19T18:01:11.897010
594,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-4-11091140,CUNDINAMARCA - EMPRESAS PÚBLICAS DE NILO,Nilo,Cundinamarca,ESTUDIOS_PREVIOS,1,4427,2026-07-19T18:01:54.647153
595,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-4-10842994,ANTIOQUIA - EMPRESA DE DESARROLLO URBANO EDU - MEDELLIN,Medellín,Antioquia,MATRIZ_RIESGO,1,7859,2026-07-19T18:01:58.407391
596,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-22-3964,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),Bogotá D.C.,Bogotá D.C.,SIN_DOCUMENTO,1,5113,2026-07-19T18:02:02.254493
597,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-22-4153,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),Bogotá D.C.,Bogotá D.C.,SIN_DOCUMENTO,1,4840,2026-07-19T18:02:05.491302
598,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-5873,CVC - CORPORACIÓN AUTÓNOMA REGIONAL DEL VALLE DEL CAUCA,Cali,Valle del Cauca,ESTUDIOS_PREVIOS,1,12212,2026-07-19T18:02:08.660598
599,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-12-9616099,CORNARE - CORPORACIÓN AUTÓNOMA REGIONAL DE LAS CUENCAS DE RÍOS NEGRO Y NARE,Medellín,Antioquia,SIN_DOCUMENTO,1,4719,2026-07-19T18:02:11.858815
600,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-21064,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE UBATÉ,Villa de San Diego de Ubate,Cundinamarca,ESTUDIOS_PREVIOS,1,8952,2026-07-19T18:02:15.073306
