fila_secop1_lite,url,entidad,municipio,departamento,tipo_documento,n_documentos,nombres_pdf
676,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-15296,GUAVIARE - GOBERNACIÓN,San José del Guaviare,Guaviare,ESTUDIOS_PREVIOS,0,
677,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-25818,BOYACÁ - ALCALDÍA MUNICIPIO DE GARAGOA,Garagoa,Boyacá,ESTUDIOS_PREVIOS,0,
678,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-12132,SANTANDER - ALCALDÍA MUNICIPIO DE BUCARAMANGA,Bucaramanga,Santander,ESTUDIOS_PREVIOS,0,
679,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-22-1383,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),Bogotá D.C.,Bogotá D.C.,SIN_DOCUMENTO,0,
680,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-1-205193,SANTANDER - ALCALDÍA MUNICIPIO DE PUENTE NACIONAL,Puente Nacional,Santander,SIN_DOCUMENTO,0,
681,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-33475,SANTANDER - ALCALDÍA MUNICIPIO DE MOGOTES,Mogotes,Santander,SIN_DOCUMENTO,0,
682,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-21405,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE CACHIPAY,Cachipay,Cundinamarca,SIN_DOCUMENTO,0,
683,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-4-12853984,ANTIOQUIA - EMPRESA DE VIVIENDA DE ANTIOQUIA - VIVA,Medellín,Antioquia,SIN_DOCUMENTO,0,
684,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-188288,SANTANDER - ALCALDÍA MUNICIPIO DE PUENTE NACIONAL,Puente Nacional,Santander,SIN_DOCUMENTO,0,
685,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-1-211957,GUAINÍA - ALCALDÍA MUNICIPIO DE INÍRIDA,Inírida,Guainía,MATRIZ_RIESGOS,0,
686,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-9512,GUAVIARE - ALCALDÍA MUNICIPIO DE SAN JOSÉ DEL GUAVIARE,San José del Guaviare,Guaviare,ESTUDIOS_PREVIOS,0,
687,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-12795,META - ALCALDÍA MUNICIPIO DE MAPIRIPÁN,Mapiripán,Meta,ESTUDIOS_PREVIOS,0,
688,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-12-9544646,ANTIOQUIA - ALCALDÍA MUNICIPIO DE ENVIGADO,Envigado,Antioquia,SIN_DOCUMENTO,0,
689,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=23-21-36710,BOYACÁ - ALCALDÍA MUNICIPIO DE TIBANÁ,Tibaná,Boyacá,SIN_DOCUMENTO,0,
690,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-7760,ANTIOQUIA - ALCALDÍA MUNICIPIO DE REMEDIOS,Remedios,Antioquia,SIN_DOCUMENTO,0,
691,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-11-8490713,HUILA - GOBERNACIÓN,Neiva,Huila,SIN_DOCUMENTO,0,
692,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-4-8360540,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),Bogotá D.C.,Bogotá D.C.,SIN_DOCUMENTO,0,
693,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-4-8359887,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),Bogotá D.C.,Bogotá D.C.,SIN_DOCUMENTO,0,
694,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-19774,VICHADA - ALCALDÍA MUNICIPIO DE CUMARIBO,Cumaribo,Vichada,SIN_DOCUMENTO,0,
695,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-1-203773,SANTANDER - UNIDADES TECNOLÓGICAS DE SANTANDER,Bucaramanga,Santander,SIN_DOCUMENTO,0,
696,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-22113,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE UBATÉ,Villa de San Diego de Ubate,Cundinamarca,SIN_DOCUMENTO,0,
697,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-34050,BOYACÁ - ALCALDÍA MUNICIPIO DE NOBSA,Nobsa,Boyacá,SIN_DOCUMENTO,0,
698,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-28544,VAUPÉS - GOBERNACIÓN,Mitú,Vaupés,ESTUDIOS_PREVIOS,0,
699,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-4-7966117,VALLE DEL CAUCA - EMPRESAS PÚBLICAS MUNICIPALES DE CARTAGO,Cartago,Valle del Cauca,SIN_DOCUMENTO,0,
700,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-13658,HUILA - GOBERNACIÓN,Neiva,Huila,ESTUDIOS_PREVIOS,0,
701,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-22-3974,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),Bogotá D.C.,Bogotá D.C.,SIN_DOCUMENTO,0,
702,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-4-10942545,ANTIOQUIA - EMPRESA DE DESARROLLO URBANO EDU - MEDELLIN,Medellín,Antioquia,SIN_DOCUMENTO,0,
703,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-4-11034286,ANTIOQUIA - EMPRESAS PÚBLICAS DE LA CEJA DEL TAMBO E.S.P.,Medellín,Antioquia,SIN_DOCUMENTO,0,
704,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-1-199485,SANTANDER - ALCALDÍA MUNICIPIO DE BUCARAMANGA,Bucaramanga,Santander,SIN_DOCUMENTO,0,
705,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-20040,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE CAJICÁ,Cajicá,Cundinamarca,SIN_DOCUMENTO,0,
706,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-22-4196,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),Bogotá D.C.,Bogotá D.C.,SIN_DOCUMENTO,0,
707,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-21596,CAUCA - ALCALDÍA MUNICIPIO DE MIRANDA,Miranda,Cauca,SIN_DOCUMENTO,0,
708,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-22-28315,CÓRDOBA - AGUAS DE CÓRDOBA S.A. E.S.P.,Montería,Córdoba,ESTUDIOS_PREVIOS,0,
709,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-4-9894884,ANTIOQUIA - EMPRESAS PÚBLICAS DE LA CEJA DEL TAMBO E.S.P.,Medellín,Antioquia,SIN_DOCUMENTO,0,
710,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-7130,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE ANAPOIMA,Anapoima,Cundinamarca,ESTUDIOS_PREVIOS,0,
711,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-1-201812,SANTANDER - ALCALDÍA MUNICIPIO DE BUCARAMANGA,Bucaramanga,Santander,ESTUDIOS_PREVIOS,0,
712,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-22-4137,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),Bogotá D.C.,Bogotá D.C.,SIN_DOCUMENTO,0,
713,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-9625,RISARALDA - ALCALDÍA MUNICIPIO DE GUATICA,Guática,Risaralda,SIN_DOCUMENTO,0,
714,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-21000,NORTE DE SANTANDER - ALCALDÍA MUNICIPIO DE SALAZAR DE LAS PALMAS,Salazar de las Palmas,Norte De Santander,SIN_DOCUMENTO,0,
715,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-4-11806414,SANTANDER - E.S.P. AGUAS DE BARRANCABERMEJA S.A. - BARRANCABERMEJA,Barrancabermeja,Santander,SIN_DOCUMENTO,0,
716,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-12360,ANTIOQUIA - ALCALDÍA MUNICIPIO DE SANTA ROSA DE OSOS,Santa Rosa de Osos,Antioquia,SIN_DOCUMENTO,0,
717,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-18929,CVC - CORPORACIÓN AUTÓNOMA REGIONAL DEL VALLE DEL CAUCA,Cali,Valle del Cauca,ESTUDIOS_PREVIOS,0,
718,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-4-8886086,VALLE DEL CAUCA - EMPRESAS PÚBLICAS MUNICIPALES DE CARTAGO,Cartago,Valle del Cauca,SIN_DOCUMENTO,0,
719,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-1-211906,CARDIQUE - CORPORACIÓN AUTÓNOMA REGIONAL DEL CANAL DEL DIQUE,Cartagena,Bolívar,ESTUDIOS_PREVIOS,0,
720,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-22-6460,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),Bogotá D.C.,Bogotá D.C.,SIN_DOCUMENTO,0,
721,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-22-6459,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),Bogotá D.C.,Bogotá D.C.,SIN_DOCUMENTO,0,
722,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-5511,BOYACÁ - ALCALDÍA MUNICIPIO DE TUNJA,Tunja,Boyacá,SIN_DOCUMENTO,0,
723,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-4-7846316,ANTIOQUIA - TERMINALES DE TRANSPORTE DE MEDELLÍN S.A.,Medellín,Antioquia,SIN_DOCUMENTO,0,
724,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-187491,ANTIOQUIA - GOBERNACIÓN,Medellín,Antioquia,SIN_DOCUMENTO,0,
725,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=23-12-13676557,NORTE DE SANTANDER - ALCALDÍA MUNICIPIO DE TIBÚ,Tibú,Norte De Santander,SIN_DOCUMENTO,0,
726,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-14074,HUILA - ALCALDÍA MUNICIPIO DE ACEVEDO,Acevedo,Huila,SIN_DOCUMENTO,0,
727,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=23-21-40580,META - ALCALDÍA MUNICIPIO DE MESETAS,Mesetas,Meta,SIN_DOCUMENTO,0,
728,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-4-11890732,ANTIOQUIA -AQUATERRA EMPRESA DE SERVICIOS PUBLICOS AQUATERRA E.S.P GUARNE,Guarne,Antioquia,ESTUDIOS_PREVIOS,0,
729,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-19278,GUAVIARE - ALCALDÍA MUNICIPIO DE EL RETORNO,El Retorno,Guaviare,ESTUDIOS_PREVIOS,0,
730,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-4-8397885,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),Bogotá D.C.,Bogotá D.C.,SIN_DOCUMENTO,0,
731,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-10873,BOYACÁ - ALCALDÍA MUNICIPIO DE RAMIRIQUÍ,Ramiriquí,Boyacá,ESTUDIOS_PREVIOS,0,
732,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-9036,ANTIOQUIA - DISTRITO ESPECIAL DE CIENCIA; TECNOLOGICA E INNOVACION DE MEDELLIN,Medellín,Antioquia,SIN_DOCUMENTO,0,
733,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-22-5473,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),Bogotá D.C.,Bogotá D.C.,SIN_DOCUMENTO,0,
734,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-15156,GUAVIARE - GOBERNACIÓN,San José del Guaviare,Guaviare,SIN_DOCUMENTO,0,
735,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-15475,BOYACÁ - ALCALDÍA MUNICIPIO DE TUTA,Tuta,Boyacá,SIN_DOCUMENTO,0,
736,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-11-8307596,META - ALCALDÍA MUNICIPIO DE RESTREPO,Restrepo,Meta,SIN_DOCUMENTO,0,
737,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-20264,VALLE DEL CAUCA - ALCALDÍA MUNICIPIO DE YUMBO,Yumbo,Valle del Cauca,SIN_DOCUMENTO,0,
738,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-4-10795553,ANTIOQUIA - EMPRESA DE DESARROLLO SOSTENIBLE DEL ORIENTE EDESO - RIONEGRO,Rionegro,Antioquia,SIN_DOCUMENTO,0,
739,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-15315,SANTANDER - ALCALDÍA MUNICIPIO DE SABANA DE TORRES,Sabana de Torres,Santander,SIN_DOCUMENTO,0,
