feature,importance,std
tfidf_disenos,0.050258502735225606,0.008531481414111588
tfidf_desarrollo,0.03874526104092548,0.007993755742676956
tfidf_manejo,0.03613962126360819,0.008762663026469818
tfidf_tecnicas,0.03472009288850577,0.007490953600673486
tfidf_materiales,0.03289060009212025,0.00494263917496422
duracion,0.03189140919560398,0.0039438103825577345
prop_fuen_externo,0.031154900171372492,0.004036250478566982
ipc_acumulado,0.02963634528632817,0.005560571381652275
tfidf_falta,0.027646295474756045,0.00508389595542577
tfidf_calidad,0.02421626080656262,0.0069583554853327265
prob_promedio,0.02397303906119431,0.003290411287235952
tfidf_obras,0.023131161774328536,0.0023416238654835435
tfidf_pago,0.02300883874899301,0.0035544858205484703
prop_cate_bajo,0.02261273407738118,0.0013713750056547442
tfidf_riesgo,0.02207453850952241,0.004435775407885787
tfidf_expedicion,0.0219960724702312,0.006156742189713727
tfidf_obra,0.021554072366619957,0.0020036651368354128
prop_tipo_operacional,0.021034172138542605,0.003697365259327234
imp_promedio,0.02083486809199876,0.0033169097774710925
tfidf_contrato,0.020070492907385606,0.0023583511137861037
anio_inicio,0.018980798701901502,0.00202928278863009
valor_inicial,0.018256892604171848,0.0029609883776092845
tfidf_cuando,0.018053025444154092,0.002018505959392056
interaccion_prob_x_impacto,0.01762639646911194,0.0016909662749842022
trm_promedio,0.017432704509633513,0.001713664656874301
anio_fin,0.016858533794816534,0.0018568823641310233
tfidf_ejecucion,0.016669613119871307,0.0017611501765054513
tfidf_informacion,0.016234953262297413,0.00279218445425784
prob_std,0.016144774735398847,0.0019305263166222366
tfidf_municipio,0.01613543127243572,0.00196600923960234
tfidf_ejecucion contrato,0.016063554227664888,0.0029143538075146417
prop_asig_entidad,0.015210171746614442,0.0034210546111378207
tfidf_insumos,0.015138591773673138,0.002904477723546692
prop_cate_alto,0.015027835986783433,0.0025359454950637846
prop_tipo_economico,0.01081708411110972,0.0038643762885300767
