feature,coef
tfidf_desarrollo,0.8893442987667417
interaccion_prob_x_impacto,0.1711893988231734
tfidf_insumos,-0.8784691025485061
prob_std,-0.6150225649276508
tfidf_expedicion,0.1711846432465971
tfidf_materiales,-1.0309336507073592
imp_promedio,-0.6648816025078199
tfidf_obra,0.22938480938106542
tfidf_ejecucion,-0.6120086311486501
tfidf_contrato,0.3207656327581192
prop_tipo_operacional,0.9494126976398348
prob_promedio,0.8146040474878817
prop_cate_bajo,0.2200654122825373
valor_inicial,-0.1325012485483335
tfidf_riesgo,-0.5448995926394826
tfidf_tecnicas,0.6000818075868567
tfidf_municipio,-0.25664023390843416
tfidf_obras,0.3720472973854022
tfidf_informacion,-1.16175456364565
prop_fuen_externo,0.6797338487698433
tfidf_cuando,-0.14938175581098298
tfidf_disenos,1.2385790068623148
tfidf_ejecucion contrato,-0.5769036362020713
tfidf_calidad,0.5315120645614846
tfidf_manejo,-1.4751924263936596
prop_cate_alto,0.59408285404978
tfidf_pago,0.9982305662806252
prop_tipo_economico,-0.2708095348980169
prop_asig_entidad,-0.1835126512546746
tfidf_falta,0.681855729679769
anio,0.0
ipc,0.0
trm,0.0
